Gene	disease_1	disease_2	disease_3	disease_4	disease_5	disease_6	disease_7	disease_8	disease_9	disease_10	disease_11	disease_12	disease_13	disease_14	disease_15	disease_16	disease_17	disease_18	disease_19	disease_20	disease_21	disease_22	disease_23	disease_24	disease_25	disease_26	disease_27	disease_28	disease_29	disease_30	disease_31	disease_32	disease_33	disease_34	disease_35	disease_36	disease_37	disease_38	disease_39	disease_40	disease_41	disease_42	disease_43	disease_44	disease_45	disease_46	disease_47	disease_48
2	11.51739071	12.05358011	11.66334796	11.5799291480912	11.9151849462367	11.6635094361924	11.5978590975797	11.6727225011605	11.5974840602992	11.8041592819527	11.9539925558727	11.6590066778815	11.6754904590263	11.7733129248072	11.6113446626078	11.7299016562764	11.8446122131792	11.6635007369132	11.5875190004904	11.7503688969543	11.7904236295869	11.659377344496	11.9484567385409	11.6592599843598	11.561754120517	11.9051493250807	11.6222883969929	11.6330667218884	11.9260670502402	11.6732660672442	11.5918960240147	11.704935670689	11.7776008498162	11.7140230705359	11.9532028841093	11.6592594949745	11.6130590178637	11.8059446187432	11.6497255080962	11.7089886706384	11.7206363965195	11.6513265065151	11.6244075280601	11.8049663653192	11.7780398195773	11.6845334450384	11.9515356387289	11.6603785402578
3	12.07589257	13.08807955	12.79915149	12.5755812040911	12.2543795635574	12.8654221306338	12.5962549200606	12.8792077242591	12.7918040342814	12.2957780337251	12.8985808945589	12.83493218281	12.2340933380571	13.0358408294758	12.7989100218401	12.3318408109325	12.7265331456737	12.8584507605127	12.5767267633375	12.7689856907239	12.6841635372012	12.4277230266227	12.3217834983471	12.8485727397972	12.4502771339133	13.0134719339628	12.7991435543452	12.4467799104506	12.7521549763109	12.8508116408205	12.5778088455588	12.9068383921159	12.7684454268723	12.2793696464174	12.3821348391627	12.845453896434	12.3954420024676	12.9660422489794	12.7991093616845	12.3923731940037	12.8072327806549	12.8013345453028	12.6749445383488	12.6785256730671	12.5867589755877	12.3551555281633	12.7766100672203	12.8539823375646
5	10.42954089	10.82305316	10.66082342	10.5431281194552	10.7418491651745	10.6661549685376	10.6563745151358	10.7476808480106	10.5982176091788	10.5807097200637	10.7547195780816	10.5735162221979	10.5778018664382	10.7752575069473	10.6275214314716	10.5502354527484	10.7298520267642	10.6621403329011	10.5972330522073	10.7445506179023	10.5957003471662	10.5821922352197	10.7468721533513	10.5792882864509	10.652011188523	10.8052016584648	10.643109050912	10.5505158221088	10.7438890590093	10.7141186095124	10.6254886523558	10.7624829712596	10.5978556804506	10.5804634918038	10.7499347995868	10.5790381455999	10.5934765124647	10.7400297540403	10.6404825452838	10.5644082165528	10.6381459307202	10.6415631128621	10.5968944708091	10.7422881558967	10.5563483755726	10.5754445917713	10.7530695423675	10.5874645585082
6	9.412865428	10.00507361	9.940048699	9.82408301499562	9.52598339787659	9.98662964929763	9.77389620966524	9.93308796117156	9.90599024287501	9.75465990009215	9.94784037941766	9.95908600292104	9.64693644697262	9.99948360325192	9.93004592582122	9.80791536966458	9.93159977714136	9.97873647311227	9.81694698062087	9.55598045736391	9.81054731121887	9.83214387015478	9.62331505711242	9.96022772478872	9.6601100438289	9.9961425251366	9.93711094190088	9.82596027226734	9.89744436362286	9.97730479710779	9.81082561506718	9.99459131216812	9.84579508944045	9.69950347433467	9.69819016755536	9.95990054182488	9.78887240259215	9.95992311509768	9.93516126467058	9.81540482790419	9.93417226521956	9.95778491750581	9.81076629040617	9.54022448394968	9.80995764807933	9.81622976731363	9.79583467472616	9.97447149252438
7	9.164875465	9.281081041	9.477910781	9.29350930586307	9.25882332860596	9.37321088721161	9.31542413475564	9.21914013953699	9.47140061861765	9.26410044717924	9.26961748564287	9.3686649857052	9.21259592435421	9.32776579293244	9.47768094436657	9.26857470584662	9.31429701111204	9.37918260567493	9.30474425132769	9.25599853147659	9.34071823200706	9.2867565167253	9.26894639899966	9.37197279568758	9.23727912301152	9.2987861047545	9.4779026667818	9.28778388489533	9.26405809056509	9.36985064424556	9.31021944387744	9.32003341453527	9.38901821607674	9.25847145978881	9.26957576332207	9.37631809659589	9.30240730496231	9.32510455596411	9.47788040087705	9.28664877535073	9.34904609224192	9.40360074559348	9.33713768106495	9.25812250331172	9.29713281765649	9.28629141066836	9.26947233395646	9.37733030006947
8	11.07385093	11.0609684	11.40649405	11.2666822496078	11.0625343312194	11.3050151487921	11.2042861246588	11.0609760617266	11.3620634092317	11.120655691571	11.0623093170112	11.2992099424196	11.0922038969469	11.0611100912337	11.3923744847448	11.1622297730877	11.0973772595113	11.3203833045148	11.2222772173751	11.0612020536878	11.2901257913226	11.2955760554942	11.0624850937418	11.3024371326366	11.1249968548148	11.0609900537224	11.4020070086351	11.2873499255532	11.0625019981302	11.2735700761868	11.2094736169492	11.0609954996937	11.3406265599024	11.1000399535236	11.0624466303802	11.3109804915834	11.1942644067052	11.0912094212068	11.4012054134162	11.251132001673	11.1762071903714	11.3282102702544	11.2849015902138	11.062117647646	11.222978458044	11.2361276786866	11.0623903088006	11.3174021613222
10	11.69090818	12.19250186	12.07722007	11.845826030237	12.1922035433143	12.1138553453076	11.9725487503635	12.0332500301204	11.9985351172507	12.1244611853534	12.1924914065641	11.8868507024685	12.0069898716884	12.0954601545668	12.0504634526061	12.0699674560963	12.116600776268	12.0828274796269	11.9254319608381	12.1607564171955	12.0769107225699	12.0556538110715	12.1923317669517	11.9796573943916	11.896238155411	12.1684038959384	12.0681215505328	12.014616999781	12.1924813194313	12.116180559527	11.9550302512896	12.0831525962749	12.0473156088654	12.0602735809239	12.192402875618	11.9669722196073	11.9904792930326	12.1004877875458	12.0564471716933	12.068485915856	12.069734536488	12.0740889836658	12.0274551670363	12.1772431129427	12.0717675113588	12.0615405112531	12.1924731625641	12.0579759932862
11	10.98499331	11.06273309	11.07504796	11.0414861237149	10.9947703516456	11.0715352771661	11.0244887799943	11.0290848929843	11.0498976045806	11.0099359084999	11.054816037503	11.0430047385425	10.9959324414122	11.0541940452968	11.0562009466141	11.020178200587	11.0625928484178	11.0748704371209	11.0386995245303	11.006351020836	11.0479968248486	11.0445154715243	11.0392386843401	11.0481746204978	11.0023149269301	11.0626723890772	11.0609245049774	11.0435320403532	11.0478212509676	11.0630447781174	11.0363697693763	11.0457200638523	11.0498071939138	10.9978184605382	11.050774882371	11.0487789688242	11.0229875759943	11.0622993946756	11.0563296377639	11.0341543105489	11.0611042791169	11.0673811320829	11.0408833424201	11.0030053372913	11.0333808498173	11.024823132542	11.0410966310494	11.0579297103267
12	10.60167435	12.14881636	11.00720223	10.7331265745923	11.6576116140069	11.3954052017317	10.6258754008949	11.6772270693262	10.813887610393	11.1538140091777	11.9059173732808	10.7424268958297	10.6346248834944	11.7201303017505	10.8708510385809	10.9245606271434	11.525065333016	11.0126537306139	10.6541960486948	11.6615986492134	11.0406870839285	11.0335443031032	11.6946900023041	11.3827482236631	10.6031186178132	11.9586888200126	10.9110292274655	10.8698318300838	11.7831310650943	11.5232445270542	10.6333537255058	11.7114097956309	10.9652086062905	10.9701191747481	11.7262316407379	11.007415799904	10.6452864291701	11.5424410520407	10.8751700899447	10.999530817631	11.5029097625122	10.9950650429118	10.891544076513	11.6607586832458	10.9783153518624	10.9502912120359	11.7475178688257	11.2297472878545
13	11.57396654	11.87491115	11.70109888	11.6050833596159	11.7446529536416	11.8313492134328	11.6245708376037	11.6284960912217	11.6287960900244	11.7043212830565	11.8050146002055	11.7466277596516	11.6258534966287	11.7698720227899	11.6466525423939	11.6756443261183	11.7848279993449	11.7825791607812	11.6179684274808	11.6874752315239	11.703492528271	11.6314557372167	11.7964064410304	11.8189908323601	11.5941092899562	11.8011505836831	11.660099028131	11.6238348649675	11.7726245399046	11.8139301251227	11.6223339232396	11.7002803210089	11.7026728675965	11.6286167683196	11.8037869927991	11.7773349033301	11.624385423908	11.7731487318613	11.6878926708901	11.6703244027228	11.7870224195341	11.7371212864365	11.6560550141223	11.7122486227675	11.702263719651	11.6580240189015	11.8009055473618	11.7979757906655
